,City,Latitude,Longitude,Max_Temps,Humidity,Cloudiness,Wind_Speed,Country,Date,Max_Temps_in_Fahrenheit,Imperial_Wind_Speed
0,Mackay,-21.15,149.2,297.62,35,4,4.12,AU,1623981388,76.05,9.23
1,Tromsø,69.6496,18.957,282.51,93,75,0.0,NO,1623981391,48.85,0.0
2,Mataura,-46.1927,168.8643,281.19,75,7,3.24,NZ,1623981393,46.47,7.26
3,Chapleau,47.8405,-83.4034,295.2,49,75,3.09,CA,1623981396,71.69,6.92
4,Longyearbyen,78.2186,15.6401,277.06,65,75,5.66,SJ,1623981399,39.04,12.68
5,Chokurdakh,70.6333,147.9167,283.86,47,100,2.3,RU,1623981401,51.28,5.15
6,George Town,5.4112,100.3354,302.11,83,20,0.89,MY,1623981110,84.13,1.99
7,Hilo,19.7297,-155.09,297.73,94,91,2.74,US,1623981297,76.24,6.14
8,Avarua,-21.2078,-159.775,300.18,78,75,4.63,CK,1623981408,80.65,10.37
9,Pundaguitan,6.3711,126.1689,301.98,68,13,1.57,PH,1623981411,83.89,3.52
10,Buala,-8.145,159.5921,302.41,69,15,4.77,SB,1623981413,84.67,10.68
11,Upernavik,72.7868,-56.1549,274.63,71,2,2.68,GL,1623981416,34.66,6.0
12,Butaritari,3.0707,172.7902,301.76,69,64,5.32,KI,1623981419,83.5,11.92
13,Cherskiy,68.75,161.3,283.88,55,100,3.26,RU,1623981421,51.31,7.3
14,New Norfolk,-42.7826,147.0587,287.36,88,100,0.45,AU,1623981424,57.58,1.01
15,Okhotsk,59.3833,143.3,290.3,62,29,3.2,RU,1623981426,62.87,7.17
16,Ushuaia,-54.8,-68.3,274.96,87,0,1.03,AR,1623981429,35.26,2.31
17,Codrington,-38.2667,141.9667,287.44,78,17,7.29,AU,1623981431,57.72,16.33
18,Uttiramerūr,12.6,79.7667,302.84,47,100,4.06,IN,1623981434,85.44,9.09
19,Pochutla,15.7432,-96.4661,298.61,96,100,4.06,MX,1623981436,77.83,9.09
20,Thompson,55.7435,-97.8558,280.24,100,90,3.6,CA,1623981276,44.76,8.06
21,Tasiilaq,65.6145,-37.6368,270.93,74,19,2.17,GL,1623981441,28.0,4.86
22,Vaini,-21.2,-175.2,300.24,83,40,2.57,TO,1623981443,80.76,5.76
23,Tevaitoa,-16.7833,-151.5,299.84,72,63,7.98,PF,1623981446,80.04,17.88
24,Safi,32.2994,-9.2372,292.16,87,100,2.51,MA,1623981449,66.22,5.62
25,Albany,42.6001,-73.9662,290.08,74,8,2.47,US,1623981191,62.47,5.53
26,Olinda,-8.0089,-34.8553,295.0,94,75,4.12,BR,1623981453,71.33,9.23
27,Angoram,-4.0625,144.0661,304.12,59,87,0.8,PG,1623981456,87.75,1.79
28,Iaciara,-14.0958,-46.6317,293.45,51,11,1.51,BR,1623981458,68.54,3.38
29,Hambantota,6.1241,81.1185,298.34,100,0,2.57,LK,1623981461,77.34,5.76
30,Bratsk,56.1325,101.6142,294.42,48,4,1.18,RU,1623981463,70.29,2.64
31,Ixtapa,20.7,-105.2,301.61,83,98,1.34,MX,1623981386,83.23,3.0
32,Navahrudak,53.6,25.8333,286.32,91,50,2.67,BY,1623981468,55.71,5.98
33,Cássia,-20.5831,-46.9219,287.05,63,50,0.86,BR,1623981471,57.02,1.93
34,Koulikoro,14.0,-7.75,303.71,45,58,4.17,ML,1623981473,87.01,9.34
35,Gorontalo,0.5412,123.0595,303.33,65,58,1.72,ID,1623981476,86.32,3.85
36,Nome,64.5011,-165.4064,293.8,46,1,5.18,US,1623981365,69.17,11.6
37,Pingxiang,27.6167,113.85,301.37,80,100,2.21,CN,1623981480,82.8,4.95
38,Yulara,-25.2406,130.9889,284.06,58,100,6.17,AU,1623981483,51.64,13.82
39,Konëvo,62.1215,39.3192,285.36,68,99,3.17,RU,1623981486,53.98,7.1
40,Andenes,69.3143,16.1194,284.86,93,90,1.54,NO,1623981488,53.08,3.45
41,Alexander City,32.944,-85.9539,297.76,73,1,0.0,US,1623981491,76.3,0.0
42,Mnogovershinnyy,53.9353,139.9242,285.67,67,100,4.07,RU,1623981493,54.54,9.12
43,Nagai,38.1036,140.035,297.79,51,65,0.93,JP,1623981496,76.35,2.08
44,Kapaa,22.0752,-159.319,302.14,78,15,1.34,US,1623981498,84.18,3.0
45,Cape Town,-33.9258,18.4232,285.44,98,75,0.89,ZA,1623981340,54.12,1.99
46,Castro,-24.7911,-50.0119,284.0,86,94,1.32,BR,1623981503,51.53,2.96
47,Arraial do Cabo,-22.9661,-42.0278,294.0,68,100,5.43,BR,1623981325,69.53,12.16
48,Balaguer,41.7912,0.8109,289.36,96,71,1.05,ES,1623981508,61.18,2.35
49,Puerto Ayora,-0.7393,-90.3518,296.23,93,31,2.68,EC,1623981510,73.54,6.0
50,Punta Arenas,-53.15,-70.9167,273.21,93,75,2.57,CL,1623981365,32.11,5.76
51,Morondava,-20.2833,44.2833,292.97,72,1,4.38,MG,1623981515,67.68,9.81
52,Pozo Colorado,-23.4923,-58.7972,286.16,52,99,2.64,PY,1623981518,55.42,5.91
53,Naze,28.3667,129.4833,298.66,76,100,1.15,JP,1623981520,77.92,2.58
54,Norman Wells,65.282,-126.8329,299.17,27,40,5.14,CA,1623981523,78.84,11.51
55,Leninogorsk,54.6026,52.4609,284.94,83,8,3.5,RU,1623981526,53.22,7.84
56,Dikson,73.5069,80.5464,273.27,88,99,2.6,RU,1623981528,32.22,5.82
57,Pangoa,-12.1167,-73.0,291.78,90,30,1.26,PE,1623981530,65.53,2.82
58,Egvekinot,66.3167,-179.1667,274.92,95,100,3.65,RU,1623981533,35.19,8.18
59,Lindsay,36.203,-119.0882,312.47,7,1,2.48,US,1623981536,102.78,5.56
60,Kaitangata,-46.2817,169.8464,283.11,61,99,4.38,NZ,1623981538,49.93,9.81
61,Cockburn Town,21.4612,-71.1419,300.21,86,17,8.14,TC,1623981541,80.71,18.23
62,Kentau,43.5206,68.5094,302.16,16,5,2.81,KZ,1623981543,84.22,6.29
63,Qaanaaq,77.484,-69.3632,273.11,73,3,2.09,GL,1623981546,31.93,4.68
64,Saint Anthony,45.0205,-93.218,300.29,52,75,0.45,US,1623981549,80.85,1.01
65,Inhambane,-23.865,35.3833,292.24,86,0,0.9,MZ,1623981551,66.36,2.02
66,Lompoc,34.6391,-120.4579,304.23,72,1,5.14,US,1623981246,87.94,11.51
67,Gympie,-26.1898,152.665,293.32,32,72,4.24,AU,1623981556,68.31,9.5
68,Busselton,-33.65,115.3333,283.17,70,21,5.25,AU,1623981559,50.04,11.76
69,Takapau,-40.0333,176.35,284.11,63,52,0.96,NZ,1623981561,51.73,2.15
70,Airai,-8.9266,125.4092,296.33,41,44,2.04,TL,1623981564,73.72,4.57
71,Winnemucca,40.973,-117.7357,305.31,10,50,2.83,US,1623981566,89.89,6.34
72,Bambous Virieux,-20.3428,57.7575,294.38,76,35,6.26,MU,1623981569,70.21,14.02
73,North Bend,43.4065,-124.2243,292.55,79,0,0.45,US,1623981571,66.92,1.01
74,Alofi,-19.0595,-169.9187,300.09,78,75,3.09,NU,1623981574,80.49,6.92
75,Hualmay,-11.0964,-77.6139,291.69,87,46,4.44,PE,1623981576,65.37,9.95
76,Rocha,-34.4833,-54.3333,279.75,79,78,2.71,UY,1623981507,43.88,6.07
77,Barrow,71.2906,-156.7887,285.19,50,67,4.32,US,1623981333,53.67,9.68
78,Yellowknife,62.456,-114.3525,291.44,45,20,4.12,CA,1623981583,64.92,9.23
79,Ancud,-41.8697,-73.8203,275.61,79,0,3.44,CL,1623981585,36.43,7.71
80,La Santisima Trinidad,-14.8333,-64.9,290.58,80,8,2.68,BO,1623981588,63.37,6.0
81,Vilyuysk,63.7553,121.6247,297.58,34,100,2.96,RU,1623981591,75.97,6.63
82,Yumen,40.2833,97.2,296.02,14,95,4.26,CN,1623981593,73.17,9.54
83,Sandnessjøen,66.0217,12.6316,284.14,98,100,2.83,NO,1623981596,51.78,6.34
84,Kargasok,59.0556,80.8572,291.98,70,99,3.18,RU,1623981598,65.89,7.12
85,Cabo San Lucas,22.8909,-109.9124,308.76,67,3,8.79,MX,1623981601,96.1,19.69
86,Fortuna,40.5982,-124.1573,299.92,67,1,1.79,US,1623981604,80.19,4.01
87,Ribeira Grande,38.5167,-28.7,291.5,68,100,3.08,PT,1623981607,65.03,6.9
88,Portland,45.5234,-122.6762,301.71,37,3,1.34,US,1623981458,83.41,3.0
89,Marsá Maţrūḩ,31.3525,27.2453,294.18,65,0,2.32,EG,1623981612,69.85,5.2
90,Saint George,37.1041,-113.5841,314.41,11,52,1.79,US,1623981438,106.27,4.01
91,Rikitea,-23.1203,-134.9692,296.66,75,100,12.16,PF,1623981616,74.32,27.24
92,Sur,22.5667,59.5289,302.5,76,3,1.9,OM,1623981619,84.83,4.26
93,Kailua,21.4022,-157.7394,301.56,66,45,7.7,US,1623981622,83.14,17.25
94,Port Elizabeth,-33.918,25.5701,288.76,76,10,7.51,ZA,1623981624,60.1,16.82
95,Poso,-1.3959,120.7524,301.17,75,91,1.14,ID,1623981627,82.44,2.55
96,Jamestown,42.097,-79.2353,291.11,68,0,0.45,US,1623981580,64.33,1.01
97,Pevek,69.7008,170.3133,273.77,93,100,0.23,RU,1623981631,33.12,0.52
98,Kahului,20.8947,-156.47,299.74,76,69,4.92,US,1623981346,79.86,11.02
99,Nikolskoye,59.7035,30.7861,290.09,75,36,2.31,RU,1623981636,62.49,5.17
100,Bluff,-46.6,168.3333,280.82,68,8,8.1,NZ,1623981639,45.81,18.14
101,Bilma,18.6853,12.9164,304.83,11,0,2.37,NE,1623981641,89.02,5.31
102,Huarmey,-10.0681,-78.1522,292.36,88,11,4.17,PE,1623981644,66.58,9.34
103,Lucea,18.451,-78.1736,301.4,83,83,5.07,JM,1623981647,82.85,11.36
104,Chimbote,-9.0853,-78.5783,291.84,88,53,3.22,PE,1623981571,65.64,7.21
105,Makakilo City,21.3469,-158.0858,300.75,68,49,7.42,US,1623981652,81.68,16.62
106,Kolyvan',55.3053,82.7391,292.94,79,99,4.11,RU,1623981654,67.62,9.21
107,Arlit,18.7369,7.3853,304.87,18,6,3.77,NE,1623981657,89.1,8.44
108,Tiksi,71.6872,128.8694,288.55,53,65,1.93,RU,1623981659,59.72,4.32
109,Barinitas,8.7622,-70.4111,295.86,94,94,1.06,VE,1623981662,72.88,2.37
110,Bambanglipuro,-7.95,110.2833,292.93,77,29,2.73,ID,1623981665,67.6,6.12
111,Tuktoyaktuk,69.4541,-133.0374,277.09,78,95,5.28,CA,1623981667,39.09,11.83
112,Guiratinga,-16.3494,-53.7583,292.79,47,2,0.59,BR,1623981670,67.35,1.32
113,Mongoumba,3.6415,18.5936,293.82,94,100,0.53,CF,1623981672,69.21,1.19
114,Port Alfred,-33.5906,26.891,289.4,76,7,10.44,ZA,1623981675,61.25,23.39
115,Vila Franca do Campo,37.7167,-25.4333,290.38,76,93,2.75,PT,1623981678,63.01,6.16
116,Kavaratti,10.5669,72.642,301.6,77,89,10.38,IN,1623981680,83.21,23.25
